"Component/Model","Inputs","Outputs","Endpoint/Usage","Remarks"
"Deep Learning (Neural Network - rating prediction)","features_vector (Array[Float], dimension=input_dim) OR user_data (raw fields: age, experience_level, preferred_category) â€” encoders & scaler must be applied","predicted_rating (Float, 1.0-5.0); model_metrics (after training)","predict_rating (server->server), training","Inputs derived from encoded_data columns (_encoded, _normalized, one-hot). Model file: models/deep_learning_model.h5"
"SVD (Surprise)","Training: user_id, course_id, implicit_rating; Prediction: user_id, course_id","predicted_rating (.est); RMSE/MAE (evaluation)","predict_rating (CF), training","Fast production predictions; saved as models/svd_model.pkl"
"SVD++ (Surprise)","Same as SVD","predicted_rating (.est); RMSE/MAE","training / prediction","Handles implicit feedback better; saved models/svdpp_model.pkl"
"NMF (Surprise)","Same as SVD","predicted_rating (.est); RMSE/MAE","training / prediction","Non-negative matrix factorization; saved models/nmf_model.pkl"
"ALS (implicit library)","Sparse user-item matrix (rows=users, cols=courses, values=implicit_rating)","Embeddings / implicit scores; top-N recommendations (course_id + score)","training (ALS) / recommend","Uses csr_matrix input; saved models/als_model.pkl"
"Content-based Recommender","courses_df features (one-hot category/difficulty, duration_normalized, price_normalized, rating_normalized); interactions_df to build user profiles","predict(user,course) -> rating proxy (1-5); recommend(user,n) -> list of (course_id, predicted_rating)","get_recommendations (CB)","Requires course feature matrix; saved models/content_based_recommender.pkl"
"HybridRecommendationSystem","user_id (required); optional user_data; optional exclude_enrolled, n_recommendations; internally uses SVD, CB, DL","recommend_courses(user) -> list of {course_id, predicted_rating, category, difficulty, duration_hours, price, avg_rating}; predict_rating(user,course) -> hybrid score (1-5)","get_recommendations (hybrid) / predict_rating","Ensemble weights default [0.5,0.3,0.2] (SVD,CB,DL); saved models/hybrid_system.pkl"
"Production artifacts / utilities","models/encoders.pkl (label_encoders, scaler); data CSVs (users,courses,interactions)","Model files (deep_learning_model.h5, svd_model.pkl, svdpp_model.pkl, nmf_model.pkl, als_model.pkl, content_based_recommender.pkl, hybrid_system.pkl); models/model_metadata.json; outputs images/CSVs","Deployment / load","production_deployment.py shows predict_rating(models,user,course) and get_recommendations(models,user,n) usage; encoders must match training"
"Training / Retraining pipeline","Batch CSVs: users.csv, courses.csv, interactions.csv; optional model_params (epochs, lr, batch_size)","Trained model files + model_metrics (RMSE, MAE) + models/model_metadata.json","Batch training / retraining","Notebook pipeline: preprocessing -> encode -> train DL & CF & ALS & CB -> evaluate -> save"
"API Short Inputs","user_id; course_id; n_recommendations; exclude_enrolled; user_data (age, experience_level, preferred_category); features_vector (preprocessed)","-","API endpoints (predict, recommend)","user_data will be encoded with encoders.pkl/scaler; features_vector must match input_dim and be normalized"
"API Short Outputs","-","predicted_rating (Float); recommendations (Array of objects with course_id, predicted_rating, category, difficulty, duration_hours, price, avg_rating); model_metrics (when training)","API responses","Include status/message for errors; handle unknown IDs with default behavior"
